text,date,user
ETH solid volume today,2025-10-03 13:26:21.828036,user_11
SOL huge breakout coming,2025-10-03 01:38:18.828041,user_340
BTC is pumping!,2025-10-03 00:27:27.828045,user_474
liquidity is crashing...,2025-10-03 04:13:57.828050,user_229
crypto solid volume today,2025-10-03 04:01:43.828055,user_177
BTC heading to the moon,2025-10-03 07:27:10.828060,user_69
memecoin sell-off incoming,2025-10-03 07:39:05.828065,user_361
BTC market looks shaky,2025-10-03 11:24:59.828069,user_194
SOL bearish signal,2025-10-03 15:39:04.828074,user_234
altcoins market undecided,2025-10-03 05:46:08.828079,user_103
Solana still evaluating trends,2025-10-03 09:40:43.828084,user_227
Ethereum market undecided,2025-10-02 22:39:01.828089,user_409
Bitcoin market looks shaky,2025-10-03 17:20:12.828094,user_497
SOL weak support levels,2025-10-03 19:21:37.828099,user_116
volatility trading sideways,2025-10-03 04:45:57.828104,user_202
Solana market undecided,2025-10-03 03:31:07.828109,user_55
BTC massive upside potential,2025-10-03 10:26:45.828114,user_127
whales massive upside potential,2025-10-02 22:36:57.828118,user_232
BTC looks strong today,2025-10-03 08:46:33.828123,user_383
Bitcoin massive upside potential,2025-10-03 14:56:02.828129,user_29
whales market undecided,2025-10-03 02:43:26.828134,user_354
Bitcoin solid volume today,2025-10-03 06:58:58.828139,user_111
SOL solid volume today,2025-10-03 15:57:45.828144,user_257
BTC massive upside potential,2025-10-03 19:17:52.828149,user_194
halving is crashing...,2025-10-03 03:30:31.828154,user_247
whales heading to the moon,2025-10-02 23:01:33.828159,user_91
Ethereum trading sideways,2025-10-02 21:09:18.828163,user_208
blockchain market looks shaky,2025-10-03 07:32:48.828169,user_416
crypto is crashing...,2025-10-03 10:46:35.828173,user_383
Ethereum solid volume today,2025-10-02 21:42:58.828178,user_437
altcoins looks strong today,2025-10-03 11:46:27.828184,user_170
altcoins still evaluating trends,2025-10-03 08:52:20.828189,user_440
SOL interesting on-chain data,2025-10-03 17:01:07.828194,user_500
halving still evaluating trends,2025-10-03 08:38:35.828199,user_167
blockchain massive upside potential,2025-10-03 11:18:28.828203,user_286
volatility sell-off incoming,2025-10-03 16:53:32.828208,user_39
memecoin market looks shaky,2025-10-03 06:41:50.828213,user_152
BTC is pumping!,2025-10-03 16:45:11.828218,user_271
altcoins solid volume today,2025-10-03 01:52:33.828223,user_279
BTC solid volume today,2025-10-03 04:55:53.828228,user_392
bear market weak support levels,2025-10-03 08:52:36.828233,user_304
halving weak support levels,2025-10-03 08:40:46.828237,user_274
Bitcoin is pumping!,2025-10-03 18:04:55.828242,user_287
bull market bullish setup,2025-10-03 08:48:40.828247,user_146
halving is pumping!,2025-10-02 21:32:04.828252,user_96
Solana market looks shaky,2025-10-03 17:17:17.828256,user_171
Solana is pumping!,2025-10-03 15:07:57.828261,user_134
crypto market looks shaky,2025-10-03 13:09:46.828266,user_483
liquidity market looks shaky,2025-10-02 23:23:53.828271,user_116
volatility weak support levels,2025-10-03 03:46:56.828276,user_379
Solana interesting on-chain data,2025-10-03 08:55:13.828281,user_370
BTC market looks shaky,2025-10-02 23:52:32.828286,user_478
memecoin is crashing...,2025-10-03 18:23:29.828290,user_213
Solana weak support levels,2025-10-03 18:42:48.828295,user_238
blockchain solid volume today,2025-10-03 15:18:35.828300,user_320
bull market massive upside potential,2025-10-03 10:29:26.828309,user_431
altcoins looks strong today,2025-10-03 10:33:38.828314,user_30
BTC is crashing...,2025-10-03 10:53:39.828319,user_147
memecoin looks strong today,2025-10-03 07:16:15.828324,user_269
memecoin trading sideways,2025-10-03 09:36:25.828332,user_9
volatility trading sideways,2025-10-03 13:24:45.828337,user_312
memecoin heading to the moon,2025-10-03 20:44:38.828342,user_177
Bitcoin trading sideways,2025-10-03 17:28:35.828347,user_128
Bitcoin looks strong today,2025-10-03 09:29:37.828352,user_350
bear market heading to the moon,2025-10-03 13:04:50.828357,user_461
ETH heading to the moon,2025-10-03 15:41:19.828362,user_116
SOL still evaluating trends,2025-10-03 01:56:43.828367,user_362
SOL major dump happening,2025-10-03 06:18:40.828372,user_415
bear market solid volume today,2025-10-03 20:18:39.828377,user_131
SOL weak support levels,2025-10-03 08:05:27.828381,user_468
halving is crashing...,2025-10-03 05:18:36.828386,user_293
Bitcoin bullish setup,2025-10-03 02:02:26.828392,user_161
SOL is pumping!,2025-10-03 00:42:42.828397,user_159
ETH still evaluating trends,2025-10-03 18:38:00.828401,user_492
BTC is pumping!,2025-10-03 18:47:55.828406,user_373
memecoin is crashing...,2025-10-03 17:12:24.828411,user_423
halving market undecided,2025-10-03 07:03:47.828416,user_189
BTC is crashing...,2025-10-03 13:37:56.828421,user_281
volatility interesting on-chain data,2025-10-03 01:16:44.828425,user_332
halving heading to the moon,2025-10-02 22:45:31.828430,user_306
SOL major dump happening,2025-10-03 20:03:40.828435,user_303
Solana massive upside potential,2025-10-03 16:22:41.828439,user_467
Ethereum solid volume today,2025-10-03 02:48:49.828444,user_209
Ethereum huge breakout coming,2025-10-03 20:44:40.828449,user_42
halving solid volume today,2025-10-03 00:25:33.828454,user_447
halving weak support levels,2025-10-03 10:45:57.828458,user_283
whales trading sideways,2025-10-03 02:43:07.828463,user_24
whales market undecided,2025-10-03 15:43:40.828468,user_223
memecoin is crashing...,2025-10-03 02:28:43.828473,user_341
memecoin bearish signal,2025-10-03 04:15:26.828478,user_350
memecoin looks strong today,2025-10-03 09:21:03.828483,user_423
